Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
04_Transactions,,,,2022-05-10 22:40:25,2022-05-10 22:40:38,12.415s,ERROR
,,,,,,,
Test Cases/REST_API/04_Transactions/TC02_CreateTransactions,,,,2022-05-10 22:40:26,2022-05-10 22:40:29,3.293s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions""))",,,,2022-05-10 22:40:26,2022-05-10 22:40:29,2.479s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:40:29,2022-05-10 22:40:29,0.058s,PASSED
"verifyElementPropertyValue(Response, ""data[0].User.ID"", 132)",,,,2022-05-10 22:40:29,2022-05-10 22:40:29,0.150s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC03_CreateTransactionsInvalidId,,,,2022-05-10 22:40:29,2022-05-10 22:40:30,1.397s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidProductID""))",,,,2022-05-10 22:40:30,2022-05-10 22:40:30,0.682s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:40:30,2022-05-10 22:40:30,0.012s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 's' after object key:value pair"")",,,,2022-05-10 22:40:30,2022-05-10 22:40:30,0.044s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC04_CreateTransactionsInvalidQuantity,,,,2022-05-10 22:40:30,2022-05-10 22:40:31,0.803s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidQuantity""))",,,,2022-05-10 22:40:31,2022-05-10 22:40:31,0.353s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:40:31,2022-05-10 22:40:31,0.015s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 'I' looking for beginning of value"")",,,,2022-05-10 22:40:31,2022-05-10 22:40:31,0.043s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC05_CreateTransactionsEmptyData,,,,2022-05-10 22:40:31,2022-05-10 22:40:32,0.883s,ERROR
"sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_EmptyData""))",,,,2022-05-10 22:40:32,2022-05-10 22:40:32,0.387s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:40:32,2022-05-10 22:40:32,0.039s,ERROR
,,,,,,,
Test Cases/REST_API/04_Transactions/TC06_GetAllTransactionsInvalidToken,,,,2022-05-10 22:40:32,2022-05-10 22:40:33,1.206s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions_InvalidToken""))",,,,2022-05-10 22:40:32,2022-05-10 22:40:33,0.793s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:40:33,2022-05-10 22:40:33,0.012s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 22:40:33,2022-05-10 22:40:33,0.047s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC07_CreateTransactionsInvalidToken,,,,2022-05-10 22:40:33,2022-05-10 22:40:35,1.213s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_InvalidToken""))",,,,2022-05-10 22:40:34,2022-05-10 22:40:34,0.768s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:40:34,2022-05-10 22:40:34,0.009s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 22:40:34,2022-05-10 22:40:35,0.039s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC08_CreateTransactionsEmptyToken,,,,2022-05-10 22:40:35,2022-05-10 22:40:35,0.714s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/CreateTransactions_EmptyToken""))",,,,2022-05-10 22:40:35,2022-05-10 22:40:35,0.341s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:40:35,2022-05-10 22:40:35,0.003s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 22:40:35,2022-05-10 22:40:35,0.035s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC09_GetAllTransactionsEmptyToken,,,,2022-05-10 22:40:35,2022-05-10 22:40:36,1.001s,PASSED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions_EmptyToken""))",,,,2022-05-10 22:40:36,2022-05-10 22:40:36,0.382s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:40:36,2022-05-10 22:40:36,0.014s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 22:40:36,2022-05-10 22:40:36,0.040s,PASSED
,,,,,,,
Test Cases/REST_API/04_Transactions/TC01_GetAllTransactions,,,,2022-05-10 22:40:36,2022-05-10 22:40:38,1.351s,FAILED
"Response = sendRequest(findTestObject(""REST_API/04_Transactions/GetAllTransactions""))",,,,2022-05-10 22:40:37,2022-05-10 22:40:38,0.903s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:40:38,2022-05-10 22:40:38,0.012s,FAILED
"verifyElementPropertyValue(Response, ""data[0].Name"", ""Panci"")",,,,2022-05-10 22:40:38,2022-05-10 22:40:38,0.036s,FAILED
