Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
01_Categories,,,,2022-05-10 22:49:22,2022-05-10 22:49:29,7.189s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC01_GetAllCategories,,,,2022-05-10 22:49:23,2022-05-10 22:49:26,3.172s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/GetAllCategories""))",,,,2022-05-10 22:49:23,2022-05-10 22:49:26,2.157s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:49:26,2022-05-10 22:49:26,0.063s,PASSED
"verifyElementPropertyValue(Response, ""data[0].ID"", 1)",,,,2022-05-10 22:49:26,2022-05-10 22:49:26,0.184s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC02_CreateCategory,,,,2022-05-10 22:49:26,2022-05-10 22:49:27,1.061s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory""))",,,,2022-05-10 22:49:26,2022-05-10 22:49:27,0.436s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:49:27,2022-05-10 22:49:27,0.000s,PASSED
"verifyElementPropertyValue(Response, ""data.Name"", ""health"")",,,,2022-05-10 22:49:27,2022-05-10 22:49:27,0.055s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC03_CreateCategoryInvalidName,,,,2022-05-10 22:49:27,2022-05-10 22:49:28,0.856s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_InvalidName""))",,,,2022-05-10 22:49:27,2022-05-10 22:49:28,0.356s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:49:28,2022-05-10 22:49:28,0.016s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 'h' looking for beginning of value"")",,,,2022-05-10 22:49:28,2022-05-10 22:49:28,0.044s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC04_CreateCategoryEmptyName,,,,2022-05-10 22:49:28,2022-05-10 22:49:29,0.815s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_EmptyName""))",,,,2022-05-10 22:49:28,2022-05-10 22:49:29,0.339s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-10 22:49:29,2022-05-10 22:49:29,0.015s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""categories"" violates check constraint ""categories_name_check"" (SQLSTATE 23514)"")",,,,2022-05-10 22:49:29,2022-05-10 22:49:29,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC05_CreateCategory_EmptyData,,,,2022-05-10 22:49:29,2022-05-10 22:49:29,0.777s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_EmptyData""))",,,,2022-05-10 22:49:29,2022-05-10 22:49:29,0.359s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:49:29,2022-05-10 22:49:29,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""EOF"")",,,,2022-05-10 22:49:29,2022-05-10 22:49:29,0.055s,PASSED
