Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
06_Comments,,,,2022-05-10 22:50:31,2022-05-10 22:50:39,8.633s,PASSED
,,,,,,,
Test Cases/REST_API/06_Comments/TC01_GetProductComments,,,,2022-05-10 22:50:31,2022-05-10 22:50:34,2.770s,PASSED
"Response = sendRequest(findTestObject(""REST_API/06_Comments/GetProductComments""))",,,,2022-05-10 22:50:32,2022-05-10 22:50:34,2.013s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:50:34,2022-05-10 22:50:34,0.029s,PASSED
"verifyElementPropertyValue(Response, ""data[0].ID"", 9)",,,,2022-05-10 22:50:34,2022-05-10 22:50:34,0.100s,PASSED
,,,,,,,
Test Cases/REST_API/06_Comments/TC02_WriteCommentToProduct,,,,2022-05-10 22:50:34,2022-05-10 22:50:35,1.122s,PASSED
"Response = sendRequest(findTestObject(""REST_API/06_Comments/WriteCommentToProduct""))",,,,2022-05-10 22:50:34,2022-05-10 22:50:35,0.667s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:50:35,2022-05-10 22:50:35,0.010s,PASSED
"verifyElementPropertyValue(Response, ""data.Content"", ""mantap nih gais"")",,,,2022-05-10 22:50:35,2022-05-10 22:50:35,0.039s,PASSED
,,,,,,,
Test Cases/REST_API/06_Comments/TC03_WriteCommentToProductEmptyComments,,,,2022-05-10 22:50:35,2022-05-10 22:50:36,1.189s,PASSED
"Response = sendRequest(findTestObject(""REST_API/06_Comments/WriteCommentToProduct_EmptyComments""))",,,,2022-05-10 22:50:35,2022-05-10 22:50:36,0.822s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-10 22:50:36,2022-05-10 22:50:36,0.010s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""comments"" violates check constraint ""comments_content_check"" (SQLSTATE 23514)"")",,,,2022-05-10 22:50:36,2022-05-10 22:50:36,0.036s,PASSED
,,,,,,,
Test Cases/REST_API/06_Comments/TC04_WriteCommentToProductEmptyToken,,,,2022-05-10 22:50:36,2022-05-10 22:50:37,0.816s,PASSED
"Response = sendRequest(findTestObject(""REST_API/06_Comments/WriteCommentToProduct_EmptyToken""))",,,,2022-05-10 22:50:37,2022-05-10 22:50:37,0.468s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:50:37,2022-05-10 22:50:37,0.011s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""unauthorized"")",,,,2022-05-10 22:50:37,2022-05-10 22:50:37,0.030s,PASSED
,,,,,,,
Test Cases/REST_API/06_Comments/TC05_WriteCommentToPRoductInvalidComment,,,,2022-05-10 22:50:37,2022-05-10 22:50:38,1.138s,PASSED
"Response = sendRequest(findTestObject(""REST_API/06_Comments/WriteCommentToProduct_InvalidComments""))",,,,2022-05-10 22:50:37,2022-05-10 22:50:38,0.807s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-10 22:50:38,2022-05-10 22:50:38,0.012s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""comments"" violates check constraint ""comments_content_check"" (SQLSTATE 23514)"")",,,,2022-05-10 22:50:38,2022-05-10 22:50:38,0.032s,PASSED
,,,,,,,
Test Cases/REST_API/06_Comments/TC06_WriteCommentToProductInvalidToken,,,,2022-05-10 22:50:38,2022-05-10 22:50:39,1.098s,PASSED
"Response = sendRequest(findTestObject(""REST_API/06_Comments/WriteCommentToProduct_InvalidToken""))",,,,2022-05-10 22:50:39,2022-05-10 22:50:39,0.736s,PASSED
"verifyResponseStatusCode(Response, 401)",,,,2022-05-10 22:50:39,2022-05-10 22:50:39,0.011s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""signature is invalid"")",,,,2022-05-10 22:50:39,2022-05-10 22:50:39,0.046s,PASSED
