Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
03_Auth,,,,2022-05-10 22:55:58,2022-05-10 22:56:13,15.138s,FAILED
,,,,,,,
Test Cases/REST_API/03_Auth/TC01_Register,,,,2022-05-10 22:55:58,2022-05-10 22:56:03,4.284s,FAILED
"Response = sendRequest(findTestObject(""REST_API/03_Auth/Register""))",,,,2022-05-10 22:55:59,2022-05-10 22:56:02,3.391s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-10 22:56:02,2022-05-10 22:56:03,0.079s,FAILED
"verifyElementPropertyValue(Response, ""data.Fullname"", ""Alex Under"")",,,,2022-05-10 22:56:03,2022-05-10 22:56:03,0.239s,FAILED
,,,,,,,
Test Cases/REST_API/03_Auth/TC02_RegisterEmptyEmail,,,,2022-05-10 22:56:03,2022-05-10 22:56:04,1.277s,PASSED
"Response = sendRequest(findTestObject(""REST_API/03_Auth/Register_EmptyEmail""))",,,,2022-05-10 22:56:03,2022-05-10 22:56:04,0.763s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:56:04,2022-05-10 22:56:04,0.008s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""email is required"")",,,,2022-05-10 22:56:04,2022-05-10 22:56:04,0.046s,PASSED
,,,,,,,
Test Cases/REST_API/03_Auth/TC03_RegisterEmptyName,,,,2022-05-10 22:56:04,2022-05-10 22:56:06,1.797s,PASSED
"Response = sendRequest(findTestObject(""REST_API/03_Auth/Register_EmptyName""))",,,,2022-05-10 22:56:04,2022-05-10 22:56:06,1.424s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:56:06,2022-05-10 22:56:06,0.004s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""fullname is required"")",,,,2022-05-10 22:56:06,2022-05-10 22:56:06,0.025s,PASSED
,,,,,,,
Test Cases/REST_API/03_Auth/TC04_RegisterEmptyPassword,,,,2022-05-10 22:56:06,2022-05-10 22:56:07,1.050s,PASSED
"Response = sendRequest(findTestObject(""REST_API/03_Auth/Register_EmptyPassword""))",,,,2022-05-10 22:56:06,2022-05-10 22:56:07,0.700s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-10 22:56:07,2022-05-10 22:56:07,0.008s,PASSED
