Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Web,Chrome 101.0.4951.54,,,2022-05-12 13:35:35,2022-05-12 13:38:28,2m - 52.901s,FAILED
,,,,,,,
Test Cases/WEB/Homepage/DetailProduct,Chrome 101.0.4951.54,,,2022-05-12 13:35:36,2022-05-12 13:35:38,1.991s,FAILED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-12 13:35:36,2022-05-12 13:35:36,0.005s,NOT_RUN
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-12 13:35:36,2022-05-12 13:35:36,0.002s,NOT_RUN
"name = getText(findTestObject(""WEB/Homepage/DetailProduct/HP_name""))",Chrome 101.0.4951.54,,,2022-05-12 13:35:36,2022-05-12 13:35:37,0.743s,FAILED
"click(findTestObject(""WEB/Homepage/DetailProduct/button_Detail""))",Chrome 101.0.4951.54,,,2022-05-12 13:35:37,2022-05-12 13:35:37,0.299s,FAILED
"d_name = getText(findTestObject(""WEB/Homepage/DetailProduct/Detail_name""))",Chrome 101.0.4951.54,,,2022-05-12 13:35:37,2022-05-12 13:35:38,0.312s,FAILED
"verifyEqual(name, d_name)",Chrome 101.0.4951.54,,,2022-05-12 13:35:38,2022-05-12 13:35:38,0.056s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/FilterByCategory,Chrome 101.0.4951.54,,,2022-05-12 13:35:38,2022-05-12 13:35:50,11.767s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-12 13:35:38,2022-05-12 13:35:41,3.036s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-12 13:35:41,2022-05-12 13:35:43,2.064s,PASSED
"click(findTestObject(""WEB/Homepage/SelectCategory/select_category""))",Chrome 101.0.4951.54,,,2022-05-12 13:35:43,2022-05-12 13:35:48,4.391s,PASSED
"click(findTestObject(""WEB/Homepage/SelectCategory/div_kesehatan""))",Chrome 101.0.4951.54,,,2022-05-12 13:35:48,2022-05-12 13:35:49,0.790s,PASSED
"verifyElementPresent(findTestObject(""WEB/Homepage/SelectCategory/product_empty""), 0)",Chrome 101.0.4951.54,,,2022-05-12 13:35:49,2022-05-12 13:35:50,0.871s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/CloseSelectCategory,Chrome 101.0.4951.54,,,2022-05-12 13:35:50,2022-05-12 13:35:54,4.871s,PASSED
"click(findTestObject(""WEB/Homepage/SelectCategory/close_category""))",Chrome 101.0.4951.54,,,2022-05-12 13:35:50,2022-05-12 13:35:50,0.452s,PASSED
"verifyElementPresent(findTestObject(""WEB/Homepage/SelectCategory/product_element_nocategory""), 2)",Chrome 101.0.4951.54,,,2022-05-12 13:35:50,2022-05-12 13:35:54,3.950s,PASSED
,,,,,,,
Test Cases/WEB/Auth/Login_Success,Chrome 101.0.4951.54,,,2022-05-12 13:35:54,2022-05-12 13:36:12,17.485s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-12 13:35:55,2022-05-12 13:35:57,2.427s,PASSED
