Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WEB,Chrome 101.0.4951.54,,,2022-05-13 21:42:07,2022-05-13 21:49:18,7m - 10.685s,FAILED
,,,,,,,
Test Cases/WEB/Auth/Login,Chrome 101.0.4951.54,,,2022-05-13 21:42:08,2022-05-13 21:43:30,1m - 22.109s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 21:42:08,2022-05-13 21:42:12,4.104s,PASSED
"for ([i = 1, i <= 6, (i++)])",Chrome 101.0.4951.54,,,2022-05-13 21:42:12,2022-05-13 21:43:29,1m - 16.288s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 21:43:29,2022-05-13 21:43:30,0.952s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/DetailProduct,Chrome 101.0.4951.54,,,2022-05-13 21:43:30,2022-05-13 21:43:43,13.195s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 21:43:30,2022-05-13 21:43:32,2.229s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 21:43:32,2022-05-13 21:43:33,0.191s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 21:43:33,2022-05-13 21:43:34,1.702s,PASSED
"name = getText(findTestObject(""WEB/Homepage/DetailProduct/HP_name""))",Chrome 101.0.4951.54,,,2022-05-13 21:43:34,2022-05-13 21:43:40,5.393s,PASSED
"click(findTestObject(""WEB/Homepage/DetailProduct/button_Detail""))",Chrome 101.0.4951.54,,,2022-05-13 21:43:40,2022-05-13 21:43:40,0.764s,PASSED
"d_name = getText(findTestObject(""WEB/Homepage/DetailProduct/Detail_name""))",Chrome 101.0.4951.54,,,2022-05-13 21:43:40,2022-05-13 21:43:42,1.521s,PASSED
"verifyEqual(name, d_name)",Chrome 101.0.4951.54,,,2022-05-13 21:43:42,2022-05-13 21:43:42,0.079s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 21:43:42,2022-05-13 21:43:43,0.843s,PASSED
,,,,,,,
Test Cases/WEB/Homepage/AddToCart,Chrome 101.0.4951.54,,,2022-05-13 21:43:43,2022-05-13 21:44:08,25.231s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-13 21:43:43,2022-05-13 21:43:45,1.838s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-13 21:43:45,2022-05-13 21:43:46,0.165s,PASSED
"navigateToUrl(""https://qa.alta.id/"")",Chrome 101.0.4951.54,,,2022-05-13 21:43:46,2022-05-13 21:43:47,1.910s,PASSED
"callTestCase(findTestCase(""WEB/Auth/Login_Success""), [:], CONTINUE_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-13 21:43:47,2022-05-13 21:44:04,16.326s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Beli""))",Chrome 101.0.4951.54,,,2022-05-13 21:44:04,2022-05-13 21:44:04,0.691s,PASSED
"name = getText(findTestObject(""WEB/Homepage/AddToCart/div_name""))",Chrome 101.0.4951.54,,,2022-05-13 21:44:04,2022-05-13 21:44:05,1.022s,PASSED
"click(findTestObject(""WEB/Homepage/AddToCart/button_Cart""))",Chrome 101.0.4951.54,,,2022-05-13 21:44:05,2022-05-13 21:44:06,0.643s,PASSED
"cName = getText(findTestObject(""WEB/Homepage/AddToCart/div_cartName""))",Chrome 101.0.4951.54,,,2022-05-13 21:44:06,2022-05-13 21:44:07,0.667s,PASSED
"verifyEqual(name, cName)",Chrome 101.0.4951.54,,,2022-05-13 21:44:07,2022-05-13 21:44:07,0.008s,PASSED
"verifyElementText(findTestObject(""WEB/Homepage/AddToCart/jml_product""), ""1"")",Chrome 101.0.4951.54,,,2022-05-13 21:44:07,2022-05-13 21:44:07,0.493s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-13 21:44:07,2022-05-13 21:44:08,0.906s,PASSED
