Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
REST_API,,,,2022-05-16 18:20:38,2022-05-16 18:21:20,42.106s,FAILED
,,,,,,,
Test Cases/REST_API/01_Categories/TC01_GetAllCategories,,,,2022-05-16 18:20:39,2022-05-16 18:20:42,3.515s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/GetAllCategories""))",,,,2022-05-16 18:20:39,2022-05-16 18:20:42,2.680s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-16 18:20:42,2022-05-16 18:20:42,0.036s,PASSED
"verifyElementPropertyValue(Response, ""data[0].ID"", 1)",,,,2022-05-16 18:20:42,2022-05-16 18:20:42,0.159s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC02_CreateCategory,,,,2022-05-16 18:20:42,2022-05-16 18:20:43,1.135s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory""))",,,,2022-05-16 18:20:43,2022-05-16 18:20:43,0.473s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-16 18:20:43,2022-05-16 18:20:43,0.016s,PASSED
"verifyElementPropertyValue(Response, ""data.Name"", ""health"")",,,,2022-05-16 18:20:43,2022-05-16 18:20:43,0.041s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC03_CreateCategoryInvalidName,,,,2022-05-16 18:20:43,2022-05-16 18:20:44,0.836s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_InvalidName""))",,,,2022-05-16 18:20:44,2022-05-16 18:20:44,0.349s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-16 18:20:44,2022-05-16 18:20:44,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 'h' looking for beginning of value"")",,,,2022-05-16 18:20:44,2022-05-16 18:20:44,0.063s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC04_CreateCategoryEmptyName,,,,2022-05-16 18:20:44,2022-05-16 18:20:45,0.864s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_EmptyName""))",,,,2022-05-16 18:20:45,2022-05-16 18:20:45,0.409s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-16 18:20:45,2022-05-16 18:20:45,0.015s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""categories"" violates check constraint ""categories_name_check"" (SQLSTATE 23514)"")",,,,2022-05-16 18:20:45,2022-05-16 18:20:45,0.051s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC05_CreateCategory_EmptyData,,,,2022-05-16 18:20:45,2022-05-16 18:20:46,0.783s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_EmptyData""))",,,,2022-05-16 18:20:45,2022-05-16 18:20:46,0.377s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-16 18:20:46,2022-05-16 18:20:46,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""EOF"")",,,,2022-05-16 18:20:46,2022-05-16 18:20:46,0.031s,PASSED
,,,,,,,
Test Cases/REST_API/02_Products/TC01_GetAllProduct,,,,2022-05-16 18:20:46,2022-05-16 18:20:47,1.342s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/GetAllProduct""))",,,,2022-05-16 18:20:46,2022-05-16 18:20:47,0.944s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-16 18:20:47,2022-05-16 18:20:47,0.000s,PASSED
,,,,,,,
Test Cases/REST_API/02_Products/TC02_GetProductById,,,,2022-05-16 18:20:49,2022-05-16 18:20:50,0.532s,FAILED
"Response = sendRequest(findTestObject(""REST_API/02_Products/GetProductById""))",,,,2022-05-16 18:20:49,2022-05-16 18:20:50,0.458s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-16 18:20:50,2022-05-16 18:20:50,0.016s,PASSED
"verifyElementPropertyValue(Response, ""data.ID"", 1468)",,,,2022-05-16 18:20:50,2022-05-16 18:20:50,0.043s,FAILED
,,,,,,,
Test Cases/REST_API/02_Products/TC03_GetProductByInvalidId,,,,2022-05-16 18:20:50,2022-05-16 18:20:51,1.068s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/GetProductById_InvalidID""))",,,,2022-05-16 18:20:50,2022-05-16 18:20:51,0.608s,PASSED
"verifyResponseStatusCode(Response, 404)",,,,2022-05-16 18:20:51,2022-05-16 18:20:51,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""record not found"")",,,,2022-05-16 18:20:51,2022-05-16 18:20:51,0.032s,PASSED
,,,,,,,
Test Cases/REST_API/02_Products/TC04_CreateProduct,,,,2022-05-16 18:20:51,2022-05-16 18:20:52,0.831s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/CreateProduct""))",,,,2022-05-16 18:20:51,2022-05-16 18:20:52,0.412s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-16 18:20:52,2022-05-16 18:20:52,0.000s,PASSED
"verifyElementPropertyValue(Response, ""data.Name"", ""Tensi Darah Elektrik"")",,,,2022-05-16 18:20:52,2022-05-16 18:20:52,0.047s,PASSED
,,,,,,,
Test Cases/REST_API/02_Products/TC05_CreateProductDecimalPrice,,,,2022-05-16 18:20:52,2022-05-16 18:20:53,1.081s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/CreateProduct_DecimalPrice""))",,,,2022-05-16 18:20:52,2022-05-16 18:20:53,0.446s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-16 18:20:53,2022-05-16 18:20:53,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""json: cannot unmarshal number 2400.00 into Go struct field ProductCreate.price of type uint"")",,,,2022-05-16 18:20:53,2022-05-16 18:20:53,0.047s,PASSED
,,,,,,,
Test Cases/REST_API/02_Products/TC06_CreateProductEmptyName,,,,2022-05-16 18:20:53,2022-05-16 18:20:54,0.792s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/CreateProduct_EmptyName""))",,,,2022-05-16 18:20:53,2022-05-16 18:20:54,0.375s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-16 18:20:54,2022-05-16 18:20:54,0.019s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""products"" violates check constraint ""products_name_check"" (SQLSTATE 23514)"")",,,,2022-05-16 18:20:54,2022-05-16 18:20:54,0.032s,PASSED
,,,,,,,
Test Cases/REST_API/02_Products/TC07_CreateProductInvalidCategory,,,,2022-05-16 18:20:54,2022-05-16 18:20:54,0.773s,PASSED
"Response = sendRequest(findTestObject(""REST_API/02_Products/CreateProduct_InvalidCategory""))",,,,2022-05-16 18:20:54,2022-05-16 18:20:54,0.392s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-16 18:20:54,2022-05-16 18:20:54,0.000s,PASSED
